model,n,mae,rmse,development_rmse,control_rmse,first_day_rmse,second_day_rmse,rmse_delta_vs_selected_95pct_block_interval,daily_model_seconds,monthly_fit_seconds,peak_rss_mib,estimated_cpu_usd_per_day_with_monthly_refit_5x,pretrained_hindsight
graph_gru,33263,0.2963777920085394,0.35068680703094923,0.345914505912344,0.3719182117398474,0.34164759623756286,0.3595381457699411,"[0.0008951876076245494, 0.019038371678625054]",0.0020759999752044678,6.101384624955244,448.671875,0.0017700202666666666,False
patch_gpu64,33263,0.30605339596817904,0.34968940472542726,0.3463474482025189,0.3647158402134888,0.3498883703432331,0.3494894258006103,"[0.0021111541216007087, 0.015534596738468924]",0.0009783660000266536,0.6164187060001041,1350.859375,,False
training_mean,33263,0.31155338428347346,0.3509760633842195,0.3477659533999103,0.36542539914063743,0.3518316364567364,0.350114518423992,"[0.0030705602430762136, 0.016773410145562016]",,,,,False
chronos_bolt_tiny,33263,0.28069815553982436,0.36335869387101555,0.354257441181986,0.4027043188633467,0.3515887406916517,0.3748099132969691,"[0.012472342629785974, 0.03454009841893381]",0.018947375006973743,0.0015610839473083615,491.359375,0.0016456799999999998,True
chronos2_small_lora200,33263,0.2825871833275481,0.36796162740671806,0.36016009325875775,0.402008535581624,0.3552666093198566,0.3802875911698368,"[0.016924805032158492, 0.03851834211552542]",0.02595224300011978,13.364883125999995,1926.30078125,,True
chronos2_base_lora200,33263,0.290691059801762,0.37858157926221836,0.37159176503624336,0.4092955756527401,0.36333534898583636,0.3933021393997608,"[0.02913943560874298, 0.04634816220991328]",0.04445539500011364,26.187717795000026,2280.04296875,,True
chronos2_small_lora,33263,0.2935303927675724,0.38002093485180144,0.3728050242897069,0.41168659367375066,0.3640570730516019,0.3954085938614905,"[0.030165575404488672, 0.047750378087641106]",0.10471462493296713,10.397377457935363,655.765625,0.0017892198666666665,True
chronos2_small,33263,0.2962070847859522,0.38342061790711235,0.37602555548435607,0.41584812681623284,0.3678174276958195,0.3984796845993132,"[0.03397408459935028, 0.05105374182782665]",0.049020165926776826,0.0016369579825550318,458.390625,0.0016456799999999998,True
chronos2_base,33263,0.29490718995790777,0.3839141150161766,0.3771187313256366,0.41383129445577377,0.3684651632642561,0.3988308583213974,"[0.033401958217902136, 0.05277199266502124]",0.3045040830038488,0.01286045799497515,810.25,0.0016456799999999998,True
persistence,33263,0.33704271011834974,0.4523677716317163,0.44795149845526755,0.47221385411596745,0.4220319505652524,0.48091799964956644,"[0.09851918115424595, 0.12381473165708577]",,,,,False
