model,n,mae,rmse,development_rmse,control_rmse,first_day_rmse,second_day_rmse,rmse_delta_vs_selected_95pct_block_interval,daily_model_seconds,monthly_fit_seconds,peak_rss_mib,estimated_cpu_usd_per_day_with_monthly_refit_5x,pretrained_hindsight
blend_previous_75pct,33263,0.28687198246100426,0.3351071609437514,0.33078895926136276,0.3543543346055697,0.32333563957922995,0.34652952901340234,"[-0.008746088624577882, -0.0028853030100177137]",,,,,False
catboost_neighbor,33263,0.29072225241286825,0.3357383792618138,0.33125406911596417,0.35570155702148726,0.3244084857365961,0.3467469648904176,"[-0.008982215003577293, -0.001432225338249238]",0.0006136659067124128,30.118190333014354,214.140625,0.0018797322666666665,False
blend_scratch_75pct,33263,0.29098351971708447,0.3358868837632007,0.33140714551867373,0.35583071664469684,0.3243933400720832,0.34704935981903823,"[-0.008928893761975854, -0.0011771795290771733]",,,,,False
blend_previous_50pct,33263,0.28363269439159866,0.3357481973893899,0.331665042516798,0.3539820718389821,0.3236629757434519,0.34746510667719066,"[-0.007134881105246395, -0.0031206980620125703]",,,,,False
blend_scratch_50pct,33263,0.2912949438335269,0.3361588687473,0.33168287910817035,0.3560871455905509,0.32451249283911515,0.34746508977687,"[-0.008719250981886834, -0.0008880236856923458]",,,,,False
blend_scratch_25pct,33263,0.29165602914983657,0.3365540348432644,0.3320809643503121,0.35647056920362064,0.32476579622016066,0.34799374857782817,"[-0.008395639330172308, -0.00046177718453110114]",,,,,False
catboost_multi4,33263,0.2920732131138067,0.3370719488174657,0.3326009619226615,0.3569805782790709,0.32515293669394507,0.34863482249712996,"[-0.008032930224342857, 0.00018469506209017444]",0.00048687495291233063,11.098223000066355,207.734375,0.0017928769333333333,False
catboost_multi6,33263,0.2921034220439936,0.3375514554961843,0.3331573247696641,0.35713036970333367,0.3259821816089559,0.3487868739988089,"[-0.007436560007943886, 0.0006868417163111141]",0.0006936669815331697,33.092028375016525,191.203125,0.0018934462666666666,False
blend_previous_25pct,33263,0.28113782057424314,0.3376542425509854,0.33387176113179406,0.3545878394086534,0.32538626853771985,0.3495444396647438,"[-0.0041860810891103575, -0.0021689586012316646]",,,,,False
catboost_pooled,33263,0.2965668283205412,0.3391897803120519,0.33433930431467085,0.36073047606732933,0.32967078854975673,0.3484901171203281,"[-0.006274188273622602, 0.003183228598323592]",0.0009137080051004887,8.384577749995515,414.265625,0.0017800771999999998,False
catboost_neighbor+error30d,33263,0.29038875265348163,0.3400900004412535,0.3343506218751296,0.36541086984347193,0.32811352920034736,0.35171024821364977,"[-0.006404581607330942, 0.005564994959685738]",,,,,False
catboost_neighbor_gpu600_plain,33263,0.29166141520560457,0.3394622748177051,0.3345063192034411,0.36145445164751955,0.3261540380481787,0.35232492372801005,"[-0.006017276997112695, 0.0035357209169180185]",0.001135414000145829,4.271815583000034,493.60546875,,False
arima_201,33263,0.2906990201494139,0.34129949332069276,0.33497086938969917,0.36910257910083094,0.32976813006129463,0.3525033952020934,"[-0.006565550103175878, 0.00820273335813682]",0.08031224166043102,,194.21875,0.0016456799999999998,False
sarima_101,33263,0.2906039566799735,0.34178404746281166,0.3350713679501078,0.371193279033017,0.33034452849808393,0.35290213081117494,"[-0.005683685925100536, 0.008783191634279165]",0.9648119923193006,,190.140625,0.0016456799999999998,False
selected,33263,0.27940852988336984,0.34080407231009774,0.33738300628505935,0.35616664705302226,0.3284835482630663,0.352747302335957,"[0.0, 0.0]",,,,,False
autoarima,33263,0.29484901096224325,0.3581135314498148,0.34368686800581494,0.4182942292083261,0.34291831603035905,0.3727543115035405,"[0.006261733629963784, 0.02952344785389505]",0.3194830332067795,,194.75,0.0016456799999999998,False
patch_transformer,33263,0.3065810493635053,0.34824557703166215,0.3447558777711381,0.36391707563377396,0.34799945624616396,0.34849263520927315,"[0.0010145543005142352, 0.013732235504228552]",0.000572916935198009,6.165896250051446,378.359375,0.0017700202666666666,False
gru,33263,0.2960067462101623,0.3501258658845063,0.34554561465459604,0.37053068439354636,0.34056892782839054,0.3594702819024396,"[0.00034040124402159514, 0.018119364687448524]",0.0024448749609291553,6.52532158291433,392.578125,0.0017718487999999998,False
lstm,33263,0.2967216862589657,0.3509465541654087,0.34572311765006475,0.374108746766854,0.3427409009701389,0.3590005145492263,"[0.0009829936084764068, 0.019616959387273078]",0.002404957893304527,6.513544625020586,397.546875,0.0017718487999999998,False
