model,turbine,lead_bucket,n,mae,rmse
chronos2_small,T1,25-48,8307,0.31790901877904754,0.3984519026013992
chronos2_small,T2,1-24,8323,0.2754651161552137,0.3689164030032827
chronos2_small,T2,25-48,8287,0.31757184076562617,0.39850753170297565
chronos2_small_lora,T1,1-24,8346,0.27125875439220193,0.3618019066135324
chronos2_small_lora,T1,25-48,8307,0.31411449955163373,0.39539785944065764
chronos2_small_lora,T2,1-24,8323,0.27377720589994686,0.3663045301280897
chronos2_small_lora,T2,25-48,8287,0.3151658088560114,0.39541935389651206
chronos_bolt_tiny,T1,1-24,8346,0.2649221475124216,0.3510073750229815
chronos_bolt_tiny,T1,25-48,8307,0.29629932491574645,0.3755561883804035
chronos_bolt_tiny,T2,1-24,8323,0.26606186696143774,0.35217074921910463
chronos_bolt_tiny,T2,25-48,8287,0.2956475315297879,0.37406034288004947
graph_gru,T1,1-24,8346,0.2846283778861761,0.3412456257413122
graph_gru,T1,25-48,8307,0.30778667993398395,0.3594686019737241
graph_gru,T2,1-24,8323,0.28475233884691126,0.3420502032025919
graph_gru,T2,25-48,8287,0.30845039064891694,0.3596078439067972
gru,T1,1-24,8346,0.28393638512184965,0.34035396003935786
gru,T1,25-48,8307,0.307897850654424,0.35956482757733216
gru,T2,1-24,8323,0.2842365344724166,0.34078435350023495
gru,T2,25-48,8287,0.30806458394611397,0.35937548308575507
lstm,T1,1-24,8346,0.2851156715787867,0.341800985491244
lstm,T1,25-48,8307,0.30737027130885586,0.35893679794656863
lstm,T2,1-24,8323,0.2866426255118695,0.3436808326534757
lstm,T2,25-48,8287,0.3078588921367765,0.3590643735791314
patch_transformer,T1,1-24,8346,0.3055938239874708,0.34757878629773753
patch_transformer,T1,25-48,8307,0.3070251719955983,0.3483009926396032
patch_transformer,T2,1-24,8323,0.3063743803143917,0.34842077867741206
patch_transformer,T2,25-48,8287,0.3073376757396802,0.3486846345813126
sarima_101,T1,1-24,8346,0.2738784356121801,0.32998031248493614
sarima_101,T1,25-48,8307,0.30594148198876203,0.3526475487044733
sarima_101,T2,1-24,8323,0.2754649023262637,0.33070934821400233
sarima_101,T2,25-48,8287,0.30727883606667866,0.35315714314437013
catboost_neighbor_gpu600_plain,T1,1-24,8346,0.27435894776070646,0.32574536911669344
catboost_neighbor_gpu600_plain,T1,25-48,8307,0.3077457897888753,0.3519423179905649
catboost_neighbor_gpu600_plain,T2,1-24,8323,0.27548819694349075,0.3265633227670342
catboost_neighbor_gpu600_plain,T2,25-48,8287,0.30920735332886556,0.3527080363120572
chronos2_base_lora200,T1,1-24,8346,0.27172082814006115,0.3626989706659814
chronos2_base_lora200,T1,25-48,8307,0.31083071143211194,0.39417414580275983
chronos2_base_lora200,T2,1-24,8323,0.27109427602690644,0.3639723686161921
chronos2_base_lora200,T2,25-48,8287,0.3092900098094078,0.39242608378738464
chronos2_small_lora200,T1,1-24,8346,0.2701333730851252,0.3562753116770325
chronos2_small_lora200,T1,25-48,8307,0.2978676252063202,0.38185398444352586
chronos2_small_lora200,T2,1-24,8323,0.26778146446788403,0.3542522353908162
chronos2_small_lora200,T2,25-48,8287,0.294682376722659,0.37871091532797563
patch_gpu64,T1,1-24,8346,0.3057812071960425,0.3494157983130572
patch_gpu64,T1,25-48,8307,0.3055499264344009,0.34917445609009534
patch_gpu64,T2,1-24,8323,0.3067787077014507,0.3503616082365994
