model,month,n,mae,rmse
chronos_bolt_tiny,2025-05,2562,0.30372824278553734,0.3754487537123135
chronos_bolt_tiny,2025-06,2732,0.2403613412182409,0.31174021493318155
chronos_bolt_tiny,2025-07,2944,0.22699986066588243,0.3004938053574352
chronos_bolt_tiny,2025-08,2948,0.23017185321848538,0.3092359849066026
chronos_bolt_tiny,2025-09,2876,0.27142409374917553,0.34705657573089194
chronos_bolt_tiny,2025-10,2548,0.22407856327866085,0.31618841348310717
chronos_bolt_tiny,2025-11,2880,0.30268815938459226,0.3800368378007331
chronos_bolt_tiny,2025-12,2948,0.3410732567497019,0.4321025094835804
chronos_bolt_tiny,2026-01,2976,0.28161184426670804,0.3712948454924582
graph_gru,2025-02,2660,0.3007640130694647,0.3718189651395168
graph_gru,2025-03,2814,0.3591557996461132,0.39261144114092345
graph_gru,2025-04,2375,0.3277245395527388,0.37898355226222996
graph_gru,2025-05,2562,0.30207167356857373,0.3479130195543604
graph_gru,2025-06,2732,0.2683169471043793,0.3169714627775206
graph_gru,2025-07,2944,0.2467446603189371,0.2925779112517878
graph_gru,2025-08,2948,0.24865561253240828,0.3014878922454382
graph_gru,2025-09,2876,0.2989611439014481,0.35193408568531576
graph_gru,2025-10,2548,0.2798914279216975,0.33969775167411553
graph_gru,2025-11,2880,0.3148874857329108,0.3602984777902043
graph_gru,2025-12,2948,0.3325617663397853,0.3987517498852454
graph_gru,2026-01,2976,0.2831739959648834,0.3432752866706181
gru,2025-02,2660,0.30426179334902226,0.37197960287160575
gru,2025-03,2814,0.3598569752774061,0.3932953351869732
gru,2025-04,2375,0.32753741185949564,0.3791092695790698
gru,2025-05,2562,0.30147249695990597,0.34848199812035013
gru,2025-06,2732,0.26858113985292326,0.3171242516315025
gru,2025-07,2944,0.24032758358430684,0.2883804233081643
gru,2025-08,2948,0.2472219889087005,0.3008517118219284
gru,2025-09,2876,0.2981887678539499,0.3519216907235229
gru,2025-10,2548,0.2816478900061087,0.3414895627596972
gru,2025-11,2880,0.3127039428357449,0.35783937031602403
gru,2025-12,2948,0.3284452253653891,0.3937114733705477
gru,2026-01,2976,0.2888617294325116,0.3460403621028544
lstm,2025-02,2660,0.2965872687025551,0.36447222731806195
lstm,2025-03,2814,0.36314832331261004,0.39631062179379933
lstm,2025-04,2375,0.32652046708792976,0.3769498672249067
lstm,2025-05,2562,0.31102607628562756,0.3550623879350246
lstm,2025-06,2732,0.2720790502372284,0.32030523262894167
lstm,2025-07,2944,0.24134923380239445,0.2888075124670374
lstm,2025-08,2948,0.244384601144217,0.2986031682772226
lstm,2025-09,2876,0.29936324390828417,0.3546669564575909
lstm,2025-10,2548,0.28536853299519577,0.3439013026917944
lstm,2025-11,2880,0.3086945095163666,0.35359109820766454
lstm,2025-12,2948,0.33600514110401847,0.40251945981872383
lstm,2026-01,2976,0.2838467903342098,0.3436573729158581
patch_transformer,2025-02,2660,0.3261301273234506,0.3627214921832632
patch_transformer,2025-03,2814,0.3579569635161628,0.39231334356695324
patch_transformer,2025-04,2375,0.326102463613644,0.3686460625386405
patch_transformer,2025-05,2562,0.3137731444286611,0.3527921436543921
patch_transformer,2025-06,2732,0.25470127305733165,0.3071513587779469
patch_transformer,2025-07,2944,0.26199937562303,0.2967986920177604
patch_transformer,2025-08,2948,0.24936812375915204,0.30007137239446496
patch_transformer,2025-09,2876,0.2898496266782256,0.3390618453555088
patch_transformer,2025-10,2548,0.3121672761190755,0.3477210651451157
patch_transformer,2025-11,2880,0.33865771060285194,0.37429588207113873
patch_transformer,2025-12,2948,0.335348158361536,0.373185989515896
patch_transformer,2026-01,2976,0.31900896233937115,0.3544965077927949
sarima_101,2025-02,2660,0.30002833329774237,0.361044491766134
sarima_101,2025-03,2814,0.34259794841476593,0.38529780492949384
sarima_101,2025-04,2375,0.3199074140748617,0.3631888005023927
sarima_101,2025-05,2562,0.3106740499897542,0.3519257592947256
sarima_101,2025-06,2732,0.25951336537637554,0.3019344064091169
sarima_101,2025-07,2944,0.2440390279896596,0.2876627693724325
sarima_101,2025-08,2948,0.23602870430014775,0.29136661019393345
sarima_101,2025-09,2876,0.27641790929488425,0.32693695889517393
sarima_101,2025-10,2548,0.25504869790200246,0.3067511753939298
sarima_101,2025-11,2880,0.3147142841293982,0.3652621039299021
sarima_101,2025-12,2948,0.33400271251534663,0.39214106123212605
sarima_101,2026-01,2976,0.2988485336264508,0.3492058618669389
catboost_neighbor_gpu600_plain,2025-02,2660,0.30782079231089793,0.3512984474590774
catboost_neighbor_gpu600_plain,2025-03,2814,0.3318882670567986,0.3735629194959737
catboost_neighbor_gpu600_plain,2025-04,2375,0.3199754711631354,0.3637630865984369
catboost_neighbor_gpu600_plain,2025-05,2562,0.3078013285714109,0.3544416127172898
catboost_neighbor_gpu600_plain,2025-06,2732,0.24598357678329702,0.3015188765809329
catboost_neighbor_gpu600_plain,2025-07,2944,0.23448544170143482,0.28864457239959485
catboost_neighbor_gpu600_plain,2025-08,2948,0.23746331186694838,0.2942511248800062
catboost_neighbor_gpu600_plain,2025-09,2876,0.27678278439515613,0.3243901608993433
catboost_neighbor_gpu600_plain,2025-10,2548,0.286778989846537,0.3287700425245744
catboost_neighbor_gpu600_plain,2025-11,2880,0.3204533296563481,0.3608594267950684
catboost_neighbor_gpu600_plain,2025-12,2948,0.3364220292766039,0.3760946630205809
catboost_neighbor_gpu600_plain,2026-01,2976,0.3012284992724777,0.3463423719217806
chronos2_base_lora200,2025-02,2660,0.3248020118075355,0.4225913379510043
chronos2_base_lora200,2025-03,2814,0.3437053328930442,0.4216230429153606
chronos2_base_lora200,2025-04,2375,0.32841607621627944,0.4061933452205708
chronos2_base_lora200,2025-05,2562,0.31366993543721255,0.3908203367108868
chronos2_base_lora200,2025-06,2732,0.2575467583773455,0.3291856086393835
chronos2_base_lora200,2025-07,2944,0.23682926229012294,0.3267330881632389
chronos2_base_lora200,2025-08,2948,0.24048627936000308,0.3194321094666739
chronos2_base_lora200,2025-09,2876,0.29361420987357845,0.3765839591682404
chronos2_base_lora200,2025-10,2548,0.2411042580636211,0.3496541592039077
chronos2_base_lora200,2025-11,2880,0.28556727830900086,0.3661089829405726
chronos2_base_lora200,2025-12,2948,0.3287689659365401,0.4221315434899144
chronos2_base_lora200,2026-01,2976,0.30049616079887637,0.3961705525487891
chronos2_small_lora200,2025-02,2660,0.2922308510801846,0.38939481167712037
chronos2_small_lora200,2025-03,2814,0.34706480568695397,0.41876449995881826
chronos2_small_lora200,2025-04,2375,0.31476981120661685,0.3668754780911898
chronos2_small_lora200,2025-05,2562,0.3079924358833885,0.36900907675936634
chronos2_small_lora200,2025-06,2732,0.2479613271125821,0.3071071595157387
chronos2_small_lora200,2025-07,2944,0.22782561568992105,0.2928412512634342
chronos2_small_lora200,2025-08,2948,0.23731166943715662,0.32467308500646663
chronos2_small_lora200,2025-09,2876,0.2758403497816901,0.3690163051361401
chronos2_small_lora200,2025-10,2548,0.23887574889643037,0.34501817329386797
chronos2_small_lora200,2025-11,2880,0.3019574704578629,0.4018702876530529
chronos2_small_lora200,2025-12,2948,0.32946357392667647,0.4281529730014745
chronos2_small_lora200,2026-01,2976,0.27501881210373774,0.3743139890061226
patch_gpu64,2025-02,2660,0.3262448001045332,0.3623330228176033
patch_gpu64,2025-03,2814,0.35898940371170734,0.39973021193055
patch_gpu64,2025-04,2375,0.3340215671467363,0.3721681585690889
patch_gpu64,2025-05,2562,0.30612206388490754,0.3518908306586599
patch_gpu64,2025-06,2732,0.25841782523989093,0.30608563589019927
patch_gpu64,2025-07,2944,0.25712625491392355,0.2953190682728408
patch_gpu64,2025-08,2948,0.25012026806625237,0.3062068398677814
patch_gpu64,2025-09,2876,0.2861527385491157,0.33784563006062157
patch_gpu64,2025-10,2548,0.3158735313172555,0.3517968689197534
patch_gpu64,2025-11,2880,0.336043037030156,0.3734702264207439
patch_gpu64,2025-12,2948,0.33515023904929653,0.376683932395199
patch_gpu64,2026-01,2976,0.31608910672413354,0.35245990854616643
blend_scratch_25pct,2025-02,2660,0.318917844836832,0.35845197738404877
blend_scratch_25pct,2025-03,2814,0.33589702279504186,0.37415184565150467
blend_scratch_25pct,2025-04,2375,0.3139199335965644,0.357065953126596
blend_scratch_25pct,2025-05,2562,0.2967729793567107,0.3430805486750517
blend_scratch_25pct,2025-06,2732,0.2460005986195604,0.2995085785388873
blend_scratch_25pct,2025-07,2944,0.24007760466573574,0.28775601395107037
blend_scratch_25pct,2025-08,2948,0.23855289514156902,0.2913744720073891
blend_scratch_25pct,2025-09,2876,0.27855393169997655,0.32439220413085473
blend_scratch_25pct,2025-10,2548,0.2850276693567863,0.3235923052605851
blend_scratch_25pct,2025-11,2880,0.31921320926037355,0.356601586005557
blend_scratch_25pct,2025-12,2948,0.3318230942468884,0.3702286679880657
blend_scratch_25pct,2026-01,2976,0.3007024263287041,0.34229714287410123
blend_scratch_50pct,2025-02,2660,0.31899632866770405,0.35816174258241146
blend_scratch_50pct,2025-03,2814,0.33549296405857937,0.3736672105907797
blend_scratch_50pct,2025-04,2375,0.3144763647180232,0.35733384306918897
blend_scratch_50pct,2025-05,2562,0.29697275811174195,0.34296540803039427
blend_scratch_50pct,2025-06,2732,0.24580772644835894,0.2990927804524315
blend_scratch_50pct,2025-07,2944,0.23960422419066782,0.2874496228948051
blend_scratch_50pct,2025-08,2948,0.23846263459064018,0.29127801672408016
blend_scratch_50pct,2025-09,2876,0.27827411044103467,0.3240327217913308
blend_scratch_50pct,2025-10,2548,0.2835324633631732,0.3221501756812111
blend_scratch_50pct,2025-11,2880,0.3183774927697316,0.35587287449355737
blend_scratch_50pct,2025-12,2948,0.3307461083176715,0.3694533680125657
blend_scratch_50pct,2026-01,2976,0.30052337127269113,0.3423325306080177
blend_scratch_75pct,2025-02,2660,0.3191239856281992,0.35801315198899747
blend_scratch_75pct,2025-03,2814,0.3351894115343393,0.37331924550142254
blend_scratch_75pct,2025-04,2375,0.31505821298259756,0.3577390834143431
blend_scratch_75pct,2025-05,2562,0.29722959359776413,0.3430021247374645
blend_scratch_75pct,2025-06,2732,0.24567460854876683,0.2988132663916463
blend_scratch_75pct,2025-07,2944,0.2391750388462746,0.287238478952341
blend_scratch_75pct,2025-08,2948,0.23842346717628785,0.29127338176946316
blend_scratch_75pct,2025-09,2876,0.27803363270773074,0.32378518532928785
blend_scratch_75pct,2025-10,2548,0.28208873018453606,0.3208290680501797
blend_scratch_75pct,2025-11,2880,0.3175739008805793,0.3552432600164122
blend_scratch_75pct,2025-12,2948,0.3297160007734596,0.36880012021023356
blend_scratch_75pct,2026-01,2976,0.3003821884211629,0.34249947660058927
blend_previous_25pct,2025-02,2660,0.31100724042847033,0.35694418395902855
blend_previous_25pct,2025-03,2814,0.3283590518855882,0.375170813857312
blend_previous_25pct,2025-04,2375,0.304706329812497,0.3560874756346837
blend_previous_25pct,2025-05,2562,0.2892734216676839,0.34864402357956964
blend_previous_25pct,2025-06,2732,0.24037846690541598,0.31102388814795673
blend_previous_25pct,2025-07,2944,0.2220606616212981,0.2897017851578641
blend_previous_25pct,2025-08,2948,0.23366176705760308,0.30346391320875166
blend_previous_25pct,2025-09,2876,0.26901721673107154,0.3329325286688986
blend_previous_25pct,2025-10,2548,0.2622516857266999,0.31160767478252493
blend_previous_25pct,2025-11,2880,0.30435113915038675,0.34905309928496214
blend_previous_25pct,2025-12,2948,0.32228737867332463,0.3671427562436849
blend_previous_25pct,2026-01,2976,0.29152181528266313,0.3416965351194914
blend_previous_50pct,2025-02,2660,0.3133029194500076,0.35620926165450517
blend_previous_50pct,2025-03,2814,0.3300065204069684,0.3734786172683649
blend_previous_50pct,2025-04,2375,0.3079203479120326,0.355803527246154
blend_previous_50pct,2025-05,2562,0.29122627740402984,0.34544915410738164
blend_previous_50pct,2025-06,2732,0.2407300307352017,0.30530216190522325
blend_previous_50pct,2025-07,2944,0.22643635059209535,0.2871479567601638
blend_previous_50pct,2025-08,2948,0.23431624436594786,0.29773446735418685
blend_previous_50pct,2025-09,2876,0.2709678668902882,0.32815356852524963
blend_previous_50pct,2025-10,2548,0.2678343621841052,0.3129722135964884
blend_previous_50pct,2025-11,2880,0.30825748667941716,0.3500510902771281
blend_previous_50pct,2025-12,2948,0.3241214890092036,0.3665388188215769
blend_previous_50pct,2026-01,2976,0.2939896003445486,0.34108801215652385
blend_previous_75pct,2025-02,2660,0.3160532513108599,0.35656440901842845
blend_previous_75pct,2025-03,2814,0.33223368273815296,0.37278927071350065
blend_previous_75pct,2025-04,2375,0.311522656521069,0.35653685353193276
blend_previous_75pct,2025-05,2562,0.29401898009209704,0.34362407818662366
blend_previous_75pct,2025-06,2732,0.2425613409604033,0.30116240932446914
blend_previous_75pct,2025-07,2944,0.23215089975870762,0.28628320518991474
blend_previous_75pct,2025-08,2948,0.23592372925744076,0.2936767356418606
blend_previous_75pct,2025-09,2876,0.2740649563990041,0.32504330552725025
blend_previous_75pct,2025-10,2548,0.27398209664773204,0.31565757931366106
blend_previous_75pct,2025-11,2880,0.3124222281824872,0.3519425783629115
blend_previous_75pct,2025-12,2948,0.3263194692029529,0.3669154275129902
blend_previous_75pct,2026-01,2976,0.29696121948004867,0.34145614549813885
catboost_neighbor+error30d,2025-02,2660,0.29857728250126053,0.3585887574127081
catboost_neighbor+error30d,2025-03,2814,0.34075119104264523,0.38064333476558554
catboost_neighbor+error30d,2025-04,2375,0.3177188591637944,0.36387298268705026
catboost_neighbor+error30d,2025-05,2562,0.2941783833872921,0.34302391254558096
catboost_neighbor+error30d,2025-06,2732,0.2514196098626064,0.3003086219043614
catboost_neighbor+error30d,2025-07,2944,0.24161316994569898,0.2878974383651819
catboost_neighbor+error30d,2025-08,2948,0.23694667763879992,0.29307399086371133
catboost_neighbor+error30d,2025-09,2876,0.2838433811333668,0.3270371667984191
catboost_neighbor+error30d,2025-10,2548,0.2776171620496898,0.3188115300501048
catboost_neighbor+error30d,2025-11,2880,0.31978006864918745,0.3634199115392529
catboost_neighbor+error30d,2025-12,2948,0.33101236291333025,0.38099328675159794
catboost_neighbor+error30d,2026-01,2976,0.2959156112059336,0.34929035549026743
