model,month,n,mae,rmse
selected,2025-02,2660,0.309263374553481,0.3587624769953629
selected,2025-03,2814,0.327213263485328,0.377852387050959
selected,2025-04,2375,0.30214678101505665,0.35738627398891687
selected,2025-05,2562,0.28813776985612555,0.3531715141717192
selected,2025-06,2732,0.24151050067726468,0.3182422718529514
selected,2025-07,2944,0.21879941931412325,0.29390066235066553
selected,2025-08,2948,0.23386650030871792,0.3107726271168707
selected,2025-09,2876,0.2681202645388853,0.33930968568273323
selected,2025-10,2548,0.25747755156136154,0.3115813166379168
selected,2025-11,2880,0.30079326548632473,0.3489562714917568
selected,2025-12,2948,0.32079725597490427,0.3687224216457681
selected,2026-01,2976,0.2897135214517545,0.3432765204988198
training_mean,2025-02,2660,0.3202120290114711,0.357564058946893
training_mean,2025-03,2814,0.35855319486471104,0.40408954545261516
training_mean,2025-04,2375,0.3188465838644205,0.3598105157696277
training_mean,2025-05,2562,0.3222565362218514,0.3565314665674625
training_mean,2025-06,2732,0.27046428263212874,0.3074848531479292
training_mean,2025-07,2944,0.2884230904575943,0.3158195773894067
training_mean,2025-08,2948,0.2709136359735585,0.30792058846040804
training_mean,2025-09,2876,0.3049161387309328,0.3412697889749081
training_mean,2025-10,2548,0.3078029741902639,0.3423422847518961
training_mean,2025-11,2880,0.33424211516138,0.376688002400948
training_mean,2025-12,2948,0.3416902268282232,0.38734432245029465
training_mean,2026-01,2976,0.30301256066312815,0.34233180037975597
persistence,2025-02,2660,0.3393333333333333,0.45132935318451
persistence,2025-03,2814,0.3672820421701019,0.47443284531920993
persistence,2025-04,2375,0.38500140350877193,0.48442632980242506
persistence,2025-05,2562,0.36957325006505337,0.4859903682617542
persistence,2025-06,2732,0.32946620302586627,0.4270687897034468
persistence,2025-07,2944,0.2674360280797102,0.38550302229786093
persistence,2025-08,2948,0.3271347806422434,0.43461459287386045
persistence,2025-09,2876,0.3435002318034307,0.4643492820673376
persistence,2025-10,2548,0.24262428048142334,0.368495537070324
persistence,2025-11,2880,0.3726076388888889,0.48926642028186657
persistence,2025-12,2948,0.3655365219357757,0.48395440473260853
persistence,2026-01,2976,0.33770721326164876,0.4602886079391562
arima_201,2025-02,2660,0.29818456632274176,0.360056277798982
arima_201,2025-03,2814,0.344613113836338,0.3872713358064345
arima_201,2025-04,2375,0.32088213680923433,0.3639349084992167
arima_201,2025-05,2562,0.30886747161621625,0.34824897524532394
arima_201,2025-06,2732,0.2601483294058553,0.3019514996188426
arima_201,2025-07,2944,0.2456667771916961,0.2880845227806322
arima_201,2025-08,2948,0.23584221793310428,0.2908523220509583
arima_201,2025-09,2876,0.27596404215143544,0.3267455304971271
arima_201,2025-10,2548,0.25120135878520466,0.30333032492281375
arima_201,2025-11,2880,0.318343601484208,0.36852165614060145
arima_201,2025-12,2948,0.33375406188847984,0.389398921712396
arima_201,2026-01,2976,0.29888926098232593,0.34783149825016557
autoarima,2025-02,2660,0.3085581569994729,0.37469898284976855
autoarima,2025-03,2814,0.35497911603154136,0.4004276299849242
autoarima,2025-04,2375,0.32293853354500873,0.3745214799452254
autoarima,2025-05,2562,0.31096674189444196,0.35502416488029714
autoarima,2025-06,2732,0.2686554764650346,0.3231225726541333
autoarima,2025-07,2944,0.24380226711297884,0.2878413724371731
autoarima,2025-08,2948,0.2358377080338735,0.2908560001254573
autoarima,2025-09,2876,0.2809206841618362,0.33343963730439796
autoarima,2025-10,2548,0.23921245611543324,0.3008516587948772
autoarima,2025-11,2880,0.31957168524291696,0.38172014468976806
autoarima,2025-12,2948,0.33847921402069253,0.42769796633846013
autoarima,2026-01,2976,0.31639660953349236,0.4087657324085595
catboost_multi4,2025-02,2660,0.31888529290676976,0.35888351274430563
catboost_multi4,2025-03,2814,0.3363887467497322,0.3747726204820082
catboost_multi4,2025-04,2375,0.3134114791705029,0.35693572284230723
catboost_multi4,2025-05,2562,0.2966681463523063,0.3433473938965813
catboost_multi4,2025-06,2732,0.24625924312945957,0.30006009409866596
catboost_multi4,2025-07,2944,0.24059353536484246,0.28815734829912515
catboost_multi4,2025-08,2948,0.23870740841353089,0.2915626564909045
catboost_multi4,2025-09,2876,0.2788711478227314,0.3248632607218762
catboost_multi4,2025-10,2548,0.28656506968816553,0.32515384651456947
catboost_multi4,2025-11,2880,0.32008915673157734,0.35742878844771653
catboost_multi4,2025-12,2948,0.33296472220405543,0.371125255217494
catboost_multi4,2026-01,2976,0.30092317534921265,0.34239335419007183
catboost_multi6,2025-02,2660,0.31778755678613135,0.35778992616057403
catboost_multi6,2025-03,2814,0.3352822873358456,0.37506871744055054
catboost_multi6,2025-04,2375,0.31673061533260105,0.3602340843869892
catboost_multi6,2025-05,2562,0.3008147133086519,0.34580304063565764
catboost_multi6,2025-06,2732,0.2462045702339144,0.2978464828382008
catboost_multi6,2025-07,2944,0.23984241973624254,0.28879125670927397
catboost_multi6,2025-08,2948,0.2372998665131458,0.29091228459950585
catboost_multi6,2025-09,2876,0.2796523154683666,0.3254941073146507
catboost_multi6,2025-10,2548,0.2844732946590594,0.3236173272812608
catboost_multi6,2025-11,2880,0.3229720401974362,0.36064374021152384
catboost_multi6,2025-12,2948,0.3338730893215894,0.37342418776202435
catboost_multi6,2026-01,2976,0.2966035046012138,0.3402213594641542
catboost_neighbor,2025-02,2660,0.31928150501980185,0.3580063819721891
catboost_neighbor,2025-03,2814,0.3349504120413255,0.37310833276355465
catboost_neighbor,2025-04,2375,0.3156700410321712,0.35828120810450004
catboost_neighbor,2025-05,2562,0.2975303661975749,0.343190650056285
catboost_neighbor,2025-06,2732,0.24561637497353297,0.29867041898557783
catboost_neighbor,2025-07,2944,0.23878554305047342,0.2871227922518083
catboost_neighbor,2025-08,2948,0.23844817474937804,0.29136057152556266
catboost_neighbor,2025-09,2876,0.27785013477776443,0.3236498516028456
catboost_neighbor,2025-10,2548,0.2806823359454694,0.31963048300716657
catboost_neighbor,2025-11,2880,0.3168161474457993,0.3547132702649023
catboost_neighbor,2025-12,2948,0.32872661889657756,0.3682695740812439
catboost_neighbor,2026-01,2976,0.30030911372053426,0.3427977886412592
catboost_pooled,2025-02,2660,0.31538147257474136,0.352520232240836
catboost_pooled,2025-03,2814,0.33634832939772846,0.37289146306598153
catboost_pooled,2025-04,2375,0.32746629248521486,0.3667023016471456
catboost_pooled,2025-05,2562,0.3032769150241278,0.3457195262220764
catboost_pooled,2025-06,2732,0.2466814047584387,0.2978740740085842
catboost_pooled,2025-07,2944,0.2387540926004745,0.2910714856770751
catboost_pooled,2025-08,2948,0.23770320422611255,0.29100547423884165
catboost_pooled,2025-09,2876,0.28283724430947,0.3259461057841271
catboost_pooled,2025-10,2548,0.293343258456121,0.3276405276590705
catboost_pooled,2025-11,2880,0.33288136317241807,0.3670704833467058
catboost_pooled,2025-12,2948,0.3362637932806714,0.36882734873252654
catboost_pooled,2026-01,2976,0.31455590568726327,0.35252647766451084
chronos2_base,2025-02,2660,0.33069157044040526,0.42521112650851867
chronos2_base,2025-03,2814,0.34424778528156735,0.42860830599449984
chronos2_base,2025-04,2375,0.3319176637180228,0.41284224276102915
chronos2_base,2025-05,2562,0.31493593431514844,0.3954132935041469
chronos2_base,2025-06,2732,0.25924050923507785,0.3311187579835294
chronos2_base,2025-07,2944,0.24119319005950315,0.3315843832007694
chronos2_base,2025-08,2948,0.2436513737585077,0.32276082008651813
chronos2_base,2025-09,2876,0.303135037746524,0.387556887825726
chronos2_base,2025-10,2548,0.2409491778160813,0.3477890827370024
chronos2_base,2025-11,2880,0.29386446080943224,0.3793071139701979
chronos2_base,2025-12,2948,0.33405704332885433,0.42813186461393743
chronos2_base,2026-01,2976,0.3066155719979396,0.39916045873690914
chronos2_small,2025-02,2660,0.3200332072812662,0.4239643770232698
chronos2_small,2025-03,2814,0.3435987905306122,0.42320526610825404
chronos2_small,2025-04,2375,0.3354735221974055,0.4087862272019059
chronos2_small,2025-05,2562,0.3157691103695366,0.38957581741757713
chronos2_small,2025-06,2732,0.26728835689012104,0.3364081564657199
chronos2_small,2025-07,2944,0.23677915573693759,0.3244538262136467
chronos2_small,2025-08,2948,0.24493066150652962,0.3230129621294222
chronos2_small,2025-09,2876,0.30381369348057563,0.3909197915338786
chronos2_small,2025-10,2548,0.24225215462052513,0.3445550670599797
chronos2_small,2025-11,2880,0.30971810075150874,0.3859924100230372
chronos2_small,2025-12,2948,0.3318954558717361,0.4254598658630707
chronos2_small,2026-01,2976,0.30846876182666844,0.4061025901453185
chronos2_small_lora,2025-02,2660,0.3192557546972556,0.4228127983285688
chronos2_small_lora,2025-03,2814,0.34012459358822195,0.4158788781641857
chronos2_small_lora,2025-04,2375,0.3307703348251811,0.40322830765123424
chronos2_small_lora,2025-05,2562,0.30927289759127113,0.3840192125342837
chronos2_small_lora,2025-06,2732,0.26256416718968684,0.3338563451092154
chronos2_small_lora,2025-07,2944,0.2349456125797798,0.3221005007908609
chronos2_small_lora,2025-08,2948,0.24223892181565834,0.3190807772591764
chronos2_small_lora,2025-09,2876,0.30337036278404517,0.387225439118262
chronos2_small_lora,2025-10,2548,0.24254405617887428,0.34436276370683105
chronos2_small_lora,2025-11,2880,0.30957557983592976,0.38639407254203006
chronos2_small_lora,2025-12,2948,0.3301470439162649,0.42165789203389437
chronos2_small_lora,2026-01,2976,0.3027425162379687,0.40156507061229524
chronos_bolt_tiny,2025-02,2660,0.2998442429416909,0.4061352130008304
chronos_bolt_tiny,2025-03,2814,0.3300471933708177,0.3943267267117638
chronos_bolt_tiny,2025-04,2375,0.32084232535470997,0.39105770271726964
